t_ms,ax,ay,az,gx,gy,gz
17800761,-0.7676,0.5914,0.2574,1.5259,-0.0610,-0.2441
17800771,-0.7679,0.5913,0.2584,0.7324,0.2441,0.1831
17800780,-0.7688,0.5925,0.2574,0.3662,0.3662,0.2441
17800790,-0.7727,0.5927,0.2563,-0.4272,0.7935,0.4272
17800799,-0.7740,0.5894,0.2585,-0.8545,0.8545,0.0000
17800808,-0.7749,0.5848,0.2603,-0.5493,0.6104,-0.2441
17800818,-0.7794,0.5844,0.2615,-0.6714,0.4272,-0.5493
17800827,-0.7817,0.5814,0.2617,-0.7935,0.4883,-0.6104
17800837,-0.7808,0.5814,0.2570,-1.0376,0.1221,-0.5493
17800846,-0.7783,0.5876,0.2523,-0.3662,-0.3052,-0.7324
17800856,-0.7728,0.5892,0.2587,0.2441,-0.8545,-1.1597
17800865,-0.7679,0.5894,0.2631,0.1831,-0.4272,-1.1597
17800875,-0.7640,0.5911,0.2592,0.4883,-0.4883,-1.2207
17800884,-0.7605,0.5934,0.2560,0.7324,-0.2441,-0.9766
17800894,-0.7609,0.5963,0.2542,1.0986,-0.2441,-0.7324
17800904,-0.7670,0.5967,0.2529,1.1597,-0.5493,-0.4883
17800912,-0.7715,0.5919,0.2538,0.8545,-0.8545,-0.3662
17800923,-0.7744,0.5875,0.2574,0.1831,-0.6714,-0.3052
17800932,-0.7770,0.5869,0.2588,0.1221,-0.4883,-0.3662
17800942,-0.7784,0.5859,0.2584,0.3052,-0.4272,-0.6714
17800951,-0.7799,0.5847,0.2588,0.3662,-0.4272,-0.7935
17800960,-0.7782,0.5844,0.2594,0.3052,-0.4883,-1.0376
17800970,-0.7775,0.5884,0.2589,0.2441,-0.6104,-0.9766
17800979,-0.7755,0.5907,0.2585,0.0000,-0.6714,-1.0986
17800988,-0.7722,0.5886,0.2577,0.1831,-0.7324,-1.1597
17800998,-0.7700,0.5887,0.2563,0.3662,-0.9155,-1.1597
17801008,-0.7682,0.5907,0.2566,0.4272,-0.7324,-0.9766
17801017,-0.7684,0.5911,0.2568,0.5493,-0.6104,-0.8545
17801027,-0.7688,0.5923,0.2570,0.6104,-0.4272,-0.5493
17801036,-0.7684,0.5928,0.2561,0.1831,-0.1831,-0.4272
17801046,-0.7694,0.5911,0.2552,-0.0610,0.1831,-0.2441
17801055,-0.7721,0.5891,0.2556,0.0000,0.1831,-0.2441
17801064,-0.7745,0.5862,0.2563,0.0610,0.3052,-0.2441
17801074,-0.7755,0.5842,0.2570,0.1221,0.3052,-0.2441
17801084,-0.7751,0.5842,0.2583,0.3052,0.1221,-0.3662
17801093,-0.7754,0.5865,0.2588,0.3052,0.0000,-0.4272
17801103,-0.7751,0.5892,0.2579,0.0000,0.1221,-0.6104
17801112,-0.7736,0.5902,0.2565,-0.3052,0.1831,-0.6714
17801121,-0.7734,0.5905,0.2567,-0.6714,0.3662,-0.7935
